0/1 Knapsack Problem Specification

Total weight capacity	280123

item_index	weight	profit
0	12.971745	95.867021
1	91.830334	11.726428
2	67.809070	78.380193
3	60.314358	31.464434
4	99.181671	20.508351
5	63.585547	40.686712
6	61.817714	4.611945
7	4.878948	15.978677
8	34.799871	22.113356
9	9.951060	87.573219
10	87.806895	5.770691
11	93.566357	44.843894
12	85.130953	74.668901
13	57.909286	34.724603
14	57.585876	63.667253
15	57.186981	50.306578
16	25.857310	12.713117
17	73.185760	69.225161
18	96.237137	14.559547
19	46.561129	8.056201
20	71.502435	38.943462
21	51.834973	69.912124
22	96.417345	69.668180
23	21.790760	15.862597
24	53.306265	97.562098
25	74.207949	57.775239
26	2.994955	59.289036
27	75.218355	64.615282
28	51.190755	37.946452
29	50.276754	75.513605
30	28.629543	92.691160
31	60.420223	22.677928
32	35.339799	84.004161
33	54.124616	65.543976
34	30.194291	8.931274
35	9.385327	6.514026
36	77.275691	3.691397
37	81.885635	27.928962
38	60.641289	24.131279
39	20.405560	12.623534
40	67.138206	98.221650
41	38.596037	54.536143
42	2.047718	9.279461
43	91.040054	54.241105
44	30.294607	90.688350
45	47.873850	58.256794
46	67.525422	26.956975
47	5.071093	13.233827
48	72.015628	20.851275
49	49.537798	21.688603
50	35.310910	76.596514
51	91.867742	7.274610
52	72.304522	39.941727
53	86.606569	15.748312
54	56.570043	43.212763
55	88.529972	99.248207
56	69.692927	34.179124
57	86.097615	18.285175
58	10.760683	12.406088
59	87.419385	74.645684
60	78.942400	41.067606
61	38.566911	2.114978
62	27.542378	47.626554
63	82.539117	71.595323
64	73.789232	80.874935
65	33.221983	52.692072
66	52.803246	27.562730
67	26.256249	9.285875
68	16.873986	59.847826
69	9.595736	15.364848
70	27.388597	76.692136
71	75.640508	87.333967
72	58.828824	30.292949
73	9.878930	38.890716
74	35.891624	92.217860
75	14.811237	19.434566
76	68.135326	0.472724
77	54.712555	33.904613
78	61.052701	17.268170
79	29.102527	6.936007
80	1.556204	83.406531
81	3.241583	72.341879
82	20.022549	63.754548
83	61.894723	4.914897
84	42.491595	77.405429
85	66.382574	32.757201
86	34.405058	45.482467
87	66.064253	15.547816
88	44.615901	96.381506
89	66.913296	97.577809
90	5.465265	49.979551
91	39.443009	42.384766
92	79.612259	17.490603
93	18.660340	2.399073
94	37.338133	94.135984
95	68.722972	5.409175
96	57.423353	13.137357
97	13.613559	79.018048
98	5.795396	13.932114
99	4.252373	91.922158
100	73.263983	57.032604
101	46.207716	14.496648
102	1.552922	16.779496
103	44.933636	26.612663
104	35.056220	51.575213
105	62.803238	68.752408
106	30.764024	70.790864
107	13.437290	38.641459
108	40.679379	7.055915
109	46.988101	3.077622
110	61.982368	32.529277
111	91.830684	34.045594
112	35.405259	87.137401
113	65.919235	41.113591
114	99.644049	45.116518
115	19.611907	10.025393
116	26.666403	33.932600
117	88.682667	51.309348
118	10.245788	42.718201
119	54.973531	75.314883
120	16.146133	50.873965
121	80.275174	62.854709
122	79.797717	61.068485
123	46.414050	30.086696
124	89.854298	32.467418
125	60.553394	34.750415
126	81.621575	19.345648
127	66.274968	11.867439
128	68.953653	17.229879
129	61.017075	65.104953
130	0.935834	16.118919
131	30.270803	74.584038
132	78.104367	31.995062
133	85.832762	9.483215
134	45.124596	95.259998
135	10.904739	35.077030
136	78.122445	48.809819
137	30.045167	57.702051
138	9.942777	59.212425
